Employee_ID,Name,Age,Gender,City,Department,Salary,Experience_Years,Joining_Date,Education,Employment_Type,Employment_Status,Product,Quantity,Sales_Amount,Discount_Percent,Remote_Work,Performance_Rating
EMP0087,Logan Hernandez,35.0,Male,Delhi,HR,128615.0,10.0,2024-09-20 00:00:00,Post Graduate,Part-time,On Leave,Tablet,6,7963.0,0.0,No,Poor
EMP0088,Jacob King,32.0,Male,Ahmedabad,Operations,58865.0,3.0,2022-04-07 00:00:00,12th,Full-time,Resigned,Laptop,8,5202.0,20.0,No,Poor
EMP0089,  Alexander Wright ,47.0,Female,Delhi,Operations,100894.0,6.0,2019-04-17 00:00:00,High School,Intern,On Leave,Laptop,7,7037.0,15.0,No,Poor
EMP0090,Benjamin Lopez,54.0,Female,Pune,HR,45616.0,11.0,2022-06-10 00:00:00,Post Graduate,Full-time,Active,Headphones,9,12807.0,22.0,No,Good
EMP0091,Elijah Hill,36.0,Female,Hyderabad,Finance,51949.0,20.0,2019-08-23 00:00:00,Post Graduate,Full-time,Inactive,Software License,8,30505.0,36.0,No,Average
EMP0092,Daniel Scott,41.0,Male,Jaipur,Data Analytics,64572.0,10.0,2022-12-07 00:00:00,Diploma,Full-time,On Leave,Headphones,2,20442.0,,No,Excellent
EMP0093,Henry Green,24.0,Male,Mumbai,Customer Support,121662.0,15.0,2021-03-21 00:00:00,High School,Full-time,Resigned,Software License,10,42818.0,12.0,No,Poor
EMP0094,Owen Adams,53.0,Female,Mumbai,Operations,64547.0,3.0,2018-09-11 00:00:00,High School,Part-time,Active,Phone,8,28897.0,33.0,Yes,Average
EMP0095,Sebastian Baker,44.0,Female,Pune,Sales,99158.0,11.0,2022-05-06 00:00:00,Graduate,Contract,Active,Headphones,7,18721.0,16.0,Yes,Average
EMP0096,Jack Nelson,26.0,Male,Pune,IT,177761.0,13.0,2025-06-11 00:00:00,Post Graduate,Full-time,On Leave,Headphones,7,42271.0,21.0,Yes,Excellent
EMP0097,Samuel Carter,48.0,Male,Pune,IT,"$75,000",6.0,2022-01-22 00:00:00,Post Graduate,Contract,Resigned,Phone,4,9115.0,9.0,Yes,Average
EMP0098,Matthew Mitchell,27.0,Male,Pune,Finance,158087.0,20.0,2024-01-20 00:00:00,12th,Part-time,Inactive,Phone,10,10948.0,28.0,Yes,Poor
EMP0099,Leo Perez,44.0,Female,Jaipur,HR,87267.0,18.0,2022-12-25 00:00:00,Post Graduate,Contract,Resigned,Software License,4,24206.0,36.0,No,Poor
EMP0100,Theodore Roberts,39.0,Female,BANGALORE,HR,125105.0,20.0,2023-08-22 00:00:00,Post Graduate,Contract,Active,Keyboard,8,24427.0,35.0,Yes,Excellent
EMP0101,Sofia Turner,39.0,Female,Jaipur,Finance,46987.0,14.0,2019-10-19 00:00:00,Graduate,Part-time,Resigned,Tablet,1,27290.0,3.0,No,Average
EMP0102,Camila Phillips,36.0,Female,Hyderabad,Sales,126231.0,11.0,2018-12-01 00:00:00,Graduate,Contract,Inactive,Not Available,1,18900.0,30.0,Yes,Poor
EMP0103,Penelope Campbell,49.0,Male,Chennai,HR,26376.0,5.0,2018-11-21 00:00:00,High School,Intern,Active,Software License,5,15673.0,19.0,Yes,Excellent
EMP0104,Layla Parker,36.0,Female,Mumbai,Marketing,135054.0,16.0,2025-03-02 00:00:00,High School,Full-time,Inactive,Keyboard,3,19188.0,27.0,Yes,Average
EMP0105,Mila Evans,36.0,Male,Mumbai,Operations,174596.0,3.0,2022-09-03 00:00:00,High School,Full-time,Resigned,Software License,8,2953.0,40.0,,Average
EMP0106,Nora Edwards,37.0,Male,Pune,HR,29257.0,4.0,2022-01-02 00:00:00,High School,Contract,Inactive,Laptop,6,35883.0,21.0,Yes,Poor
EMP0107,Hazel Collins,51.0,Male,Jaipur,Sales,72783.0,10.0,2019-07-07 00:00:00,Post Graduate,Full-time,Inactive,Laptop,6,20421.0,32.0,No,Poor
EMP0108,Luna Stewart,37.0,Male,Chennai,Operations,34599.0,2.0,2026-06-13 00:00:00,Diploma,Contract,Active,Software License,6,28736.0,25.0,No,Poor
EMP0109,Ellie Sanchez,42.0,Female,Pune,IT,73973.0,3.0,2023-07-26 00:00:00,12th,Full-time,Resigned,Headphones,3,35848.0,18.0,No,Excellent
EMP0110,Violet Morris,26.0,Female,Chennai,Data Analytics,5000,20.0,2025-05-31 00:00:00,12th,Part-time,Resigned,Tablet,8,2875.0,22.0,No,Average
EMP0111,Lillian Rogers,24.0,Female,Pune,finance,44671.0,1.0,2025-07-12 00:00:00,Post Graduate,Intern,Active,Phone,2,15566.0,23.0,No,Poor
EMP0112,Aurora Reed,57.0,Male,Jaipur,Operations,33489.0,12.0,2024-10-14 00:00:00,12th,Full-time,Inactive,Headphones,6,26185.0,20.0,No,Good
EMP0113,Natalie Cook,28.0,Male,Jaipur,Customer Support,31793.0,18.0,2026-04-02 00:00:00,Graduate,Contract,On Leave,Keyboard,8,14162.0,39.0,No,Poor
EMP0114,Hannah Morgan,33.0,Male,Jaipur,Finance,57148.0,15.0,2019-07-10 00:00:00,Graduate,Contract,On Leave,Keyboard,2,36144.0,34.0,No,Average
EMP0115,Brooklyn Bell,31.0,Male,Mumbai,HR,70636.0,5.0,2022-01-20 00:00:00,Post Graduate,Intern,Active,Tablet,0,37604.0,23.0,No,Good
EMP0116,Leah Murphy,26.0,Female,Jaipur,Customer Support,42235.0,14.0,2021-06-20 00:00:00,High School,Full-time,Inactive,Tablet,2,29589.0,29.0,No,Good
EMP0117,Zoe Bailey,56.0,Male,Kolkata,Sales,179084.0,4.0,2020-01-16 00:00:00,High School,Part-time,,Phone,3,21245.0,14.0,No,Average
EMP0118,Stella Rivera,26.0,Female,Bangalore,IT,90694.0,20.0,2020-03-15 00:00:00,High School,Full-time,Inactive,Headphones,10,10205.0,10.0,No,Excellent
EMP0119,Lucy Cooper,22.0,Female,Hyderabad,Customer Support,46292.0,20.0,2018-07-06 00:00:00,Graduate,Intern,On Leave,Keyboard,5,31750.0,15.0,No,Average
EMP0120,  Anna Richardson ,50.0,Male,Bangalore,Data Analytics,44129.0,14.0,2025-09-21 00:00:00,12th,Intern,Inactive,Tablet,10,9515.0,20.0,No,Average
EMP0121,Maya Cox,46.0,Male,Pune,HR,59279.0,15.0,2022-02-26 00:00:00,Graduate,Contract,Resigned,Phone,3,6444.0,3.0,No,Poor
EMP0122,Naomi Howard,47.0,Female,Amritsar,Operations,90082.0,7.0,2019-10-17 00:00:00,Post Graduate,Intern,Resigned,Monitor,5,32695.0,1.0,Yes,Poor
EMP0123,Elena Ward,53.0,Male,Amritsar,Operations,144860.0,2.0,2020-09-13 00:00:00,Graduate,Contract,Resigned,Headphones,8,18826.0,34.0,Yes,Excellent
EMP0124,Sarah Torres,48.0,Female,Kolkata,Operations,60110.0,2.0,2024/13/40,12th,Full-time,Inactive,Tablet,9,19013.0,4.0,No,Poor
EMP0125,Claire Peterson,56.0,Male,Bangalore,Marketing,98327.0,13.0,2024-12-27 00:00:00,Diploma,Contract,On Leave,Software License,3,13145.0,38.0,No,Excellent
EMP0126,Arun Kumar,23.0,Female,Jaipur,Data Analytics,35201.0,5.0,2019-07-16 00:00:00,High School,Part-time,On Leave,Headphones,6,10749.0,25.0,No,Average
EMP0127,Suresh Kumar,53.0,Female,Amritsar,IT,158618.0,16.0,2023-12-21 00:00:00,Graduate,Contract,On Leave,Keyboard,2,27398.0,37.0,yes,Excellent
EMP0128,Ramesh Patel,51.0,Male,Delhi,Data Analytics,94607.0,6.0,2025-05-09 00:00:00,High School,Intern,Inactive,Software License,4,2169.0,36.0,Yes,Good
EMP0129,,22.0,Female,Bangalore,Customer Support,140615.0,7.0,2021-07-08 00:00:00,12th,Intern,Active,Keyboard,3,34092.0,13.0,No,Poor
EMP0130,Ravi Kumar,54.0,Male,Jaipur,Operations,123782.0,18.0,2021-07-09 00:00:00,Diploma,Contract,Resigned,Phone,4,18384.0,35.0,No,Good
EMP0131,Sanjay Gupta,40.0,Male,Jaipur,Operations,100760.0,16.0,2025-11-27 00:00:00,Diploma,Contract,On Leave,Laptop,10,44443.0,34.0,No,Poor
EMP0132,Manoj Sharma,43.0,Male,Chennai,Marketing,63397.0,12.0,2021-04-04 00:00:00,12th,Contract,Resigned,Phone,4,35396.0,17.0,No,Good
EMP0133,Sunil Verma,27.0,Male,Delhi,HR,85000 INR,8.0,2020-09-07 00:00:00,Graduate,Full-time,Resigned,Tablet,8,6689.0,8.0,Yes,Good
EMP0134,Ajay Singh,47.0,Male,Chennai,Operations,149701.0,10.0,2023-05-10 00:00:00,Graduate,Full-time,Inactive,Headphones,1,11573.0,26.0,Yes,Excellent
EMP0135,Vivek Mishra,46.0,?,Delhi,Sales,154861.0,10.0,2020-02-03 00:00:00,High School,Full-time,On Leave,Tablet,8,42129.0,34.0,No,Good
EMP0136,Pankaj Jain,53.0,Male,Mumbai,Operations,147688.0,6.0,2021-01-22 00:00:00,12th,Contract,Inactive,Laptop,6,19434.0,36.0,Yes,Good
EMP0137,Gaurav Mehta,46.0,Female,Mumbai,Customer Support,137119.0,4.0,2023-10-12 00:00:00,Post Graduate,Part-time,Resigned,Tablet,4,547.0,16.0,No,Good
EMP0138,Tarun Arora,49.0,Female,Amritsar,Sales,94990.0,9.0,2021-09-12 00:00:00,Diploma,Part-time,Active,Keyboard,2,12500.50,19.0,Yes,Poor
EMP0139,Varun Gupta,53.0,Male,Chennai,Operations,106521.0,20.0,2025-09-28 00:00:00,Post Graduate,Part-time,Inactive,Monitor,3,29917.0,38.0,No,Poor
EMP0140,Rohit Sharma,56.0,Male,Hyderabad,Marketing,148424.0,17.0,2024-01-11 00:00:00,12th,Contract,Active,Headphones,2,4147.0,35.0,Yes,Good
EMP0141,Ayesha Khan,31.0,Female,Mumbai,HR,111014.0,19.0,2023-11-02 00:00:00,12th,Full-time,Resigned,Software License,1,29816.0,8.0,No,Poor
EMP0142,Fatima Ali,57.0,Female,Chennai,Sales,40135.0,13.0,2024-04-07 00:00:00,Diploma,Full-time,Inactive,Headphones,2,3068.0,27.0,No,Excellent
EMP0143,Sara Ahmed,55.0,Female,Delhi,IT,40795.0,14.0,2018-10-10 00:00:00,Post Graduate,Part-time,Resigned,Tablet,7,29495.0,24.0,No,Excellent
EMP0144,Zainab Sheikh,55.0,Female,Mumbai,Finance,,18.0,2025-04-30 00:00:00,12th,Part-time,Inactive,Software License,1,49656.0,1.0,No,Poor
EMP0145,Sana Khan,55.0,Female,Hyderabad,HR,136182.0,15.0,2023-12-19 00:00:00,Diploma,Part-time,On Leave,Phone,2,2211.0,26.0,Yes,Good
EMP0146,Hina Qureshi,34.0,Male,JAIPUR,Sales,42639.0,8.0,2019-02-18 00:00:00,Graduate,Intern,Resigned,Phone,9,14338.0,3.0,Yes,Average
EMP0147,Mariam Hussain,35.0,Female,Hyderabad,IT,176023.0,5.0,2021-07-30 00:00:00,High School,Part-time,Resigned,Tablet,5,4094.0,35.0,Yes,Poor
EMP0148,Aaliya Khan,56.0,Female,Kolkata,Operations,950000,14.0,2018-07-12 00:00:00,12th,Part-time,On Leave,Monitor,3,49541.0,34.0,No,Good
EMP0149,Noor Fatima,35.0,Male,Jaipur,Sales,103836.0,18.0,2025-12-08 00:00:00,12th,Intern,Inactive,Monitor,4,16811.0,13.0,No,Excellent
EMP0150,Anam Khan,49.0,Male,Delhi,IT,122275.0,13.0,2019-01-14 00:00:00,High School,Full-time,active,Phone,10,47568.0,35.0,Yes,Poor
EMP0151,Imran Khan,34.0,Male,Hyderabad,HR,112284.0,4.0,2021-05-26 00:00:00,12th,Part-time,Inactive,Monitor,4,36281.0,20.0,No,Poor
EMP0152,  Omar Farooq ,50.0,Female,Chennai,IT,164893.0,12.0,2025-04-11 00:00:00,High School,Intern,Resigned,Laptop,8,21086.0,13.0,No,Average
EMP0153,Ali Hassan,47.0,Male,Bangalore,Sales,36984.0,9.0,2024-04-23 00:00:00,High School,Intern,On Leave,Phone,4,21718.0,14.0,No,Good
EMP0154,Usman Ahmed,52.0,Female,Chennai,Data Analytics,169347.0,16.0,2025-05-05 00:00:00,12th,Part-time,On Leave,Phone,3,47306.0,34.0,No,Good
